ENG20-00208807-v	wngre:synset-βρέχω-verb-0
ENG20-00208847-n	wngre:synset-ανθρωποκτονία-noun-0
ENG20-00209353-n	wngre:synset-ανθρωποκτονία-noun-0
ENG20-00209719-v	wngre:synset-κατακλύζω-verb-0
ENG20-00210487-v	wngre:synset-υγραίνω-verb-0
ENG20-00210861-v	wngre:synset-ξηραίνομαι-verb-0
ENG20-00210987-n	wngre:synset-αυτοκαταστροφή-noun-0
ENG20-00211006-v	wngre:synset-ξηραίνω-verb-0
ENG20-00211934-v	wngre:synset-στεγνώνω-verb-0
ENG20-00212066-n	wngre:synset-σφαγή-noun-0
ENG20-00212707-n	wngre:synset-δηλητηρίαση-noun-0
ENG20-00212992-v	wngre:synset-ενδυναμώνομαι-verb-0
ENG20-00213400-v	wngre:synset-δυναμώνω-verb-0
ENG20-00214974-v	wngre:synset-ενδυναμώνω-verb-0
ENG20-00216002-v	wngre:synset-αποδυναμώνομαι-verb-0
ENG20-00216468-n	wngre:synset-εκκαθάριση-noun-0
ENG20-00217329-v	wngre:synset-αδυνατίζω-verb-0
ENG20-00218105-n	wngre:synset-εξαφάνιση-noun-0
ENG20-00218257-n	wngre:synset-άμβλωση-noun-1
ENG20-00218390-n	wngre:synset-αποβολή-noun-0
ENG20-00218842-a	wngre:synset-όμορφος-adjective-0
ENG20-00218994-v	wngre:synset-βαθαίνω-verb-0
ENG20-00219482-n	wngre:synset-ακύρωση-noun-3
ENG20-00220301-n	wngre:synset-ακύρωση-noun-1
ENG20-00220778-n	wngre:synset-ακύρωση-noun-4
ENG20-00221082-v	wngre:synset-ραντίζω-verb-1
ENG20-00221453-v	wngre:synset-αποστάζω-verb-0
ENG20-00221646-b	wngre:synset-αγενώς-adverb-1
ENG20-00221707-v	wngre:synset-αποστάζω-verb-0
ENG20-00221842-a	wngre:synset-άσχημος-adjective-0
ENG20-00222686-n	wngre:synset-αντιστροφή-noun-0
ENG20-00222868-n	wngre:synset-ανατροπή-noun-1
ENG20-00223119-v	wngre:synset-αναπτύσσομαι-verb-2
ENG20-00223229-n	wngre:synset-έναρξη-noun-0
ENG20-00224068-v	wngre:synset-βλασταίνω-verb-1
ENG20-00224698-v	wngre:synset-βλασταίνω-verb-2
ENG20-00224871-n	wngre:synset-συγκρότηση-noun-1
ENG20-00225040-a	wngre:synset-καλοσυνάτος-adjective-0
ENG20-00225563-a	wngre:synset-κακοήθης-adjective-0
ENG20-00225754-v	wngre:synset-οριοθετώ-verb-1
ENG20-00227126-v	wngre:synset-περιορίζω-verb-1
ENG20-00227499-v	wngre:synset-επεκτείνω-verb-0
ENG20-00227757-v	wngre:synset-περιορίζω-verb-0
ENG20-00227991-n	wngre:synset-δημιουργία-noun-3
ENG20-00229195-v	wngre:synset-μειώνω-verb-0
ENG20-00229455-v	wngre:synset-βράζω-verb-0
ENG20-00229679-a	wngre:synset-πρώτος-adjective-6
ENG20-00230051-v	wngre:synset-αποξειγονώνω-verb-0
ENG20-00230624-n	wngre:synset-εξέγερση-noun-1
ENG20-00230918-n	wngre:synset-εγερτήριο-noun-1
ENG20-00231041-v	wngre:synset-οξειδώνω-verb-0
ENG20-00231477-v	wngre:synset-οξειδώνω-verb-0
ENG20-00231734-n	wngre:synset-μαγείρεμα-noun-1
ENG20-00231752-v	wngre:synset-σκουριάζω-verb-0
ENG20-00232691-v	wngre:synset-μικραίνω-verb-0
ENG20-00232930-v	wngre:synset-τανύομαι-verb-0
ENG20-00233158-v	wngre:synset-συρρικνώνω-verb-0
ENG20-00233791-v	wngre:synset-ζαρώνω-verb-0
ENG20-00234775-n	wngre:synset-τηγάνισμα-noun-1
ENG20-00234910-a	wngre:synset-μεγαλύτερος-adjective-0
ENG20-00235016-a	wngre:synset-μικρός-adjective-0
ENG20-00235024-v	wngre:synset-ενώνω-verb-2
ENG20-00235800-v	wngre:synset-μικραίνω-verb-1
ENG20-00236316-v	wngre:synset-συμπυκνώνω-verb-1
ENG20-00236806-n	wngre:synset-βελτίωση-noun-1
ENG20-00236959-v	wngre:synset-σταματώ-verb-2
ENG20-00237321-v	wngre:synset-μεγαλώνω-verb-0
ENG20-00237330-n	wngre:synset-εξέλιξη-noun-0
ENG20-00238088-n	wngre:synset-ανάπτυξη-noun-1
ENG20-00238842-n	wngre:synset-καθάρισμα-noun-0
ENG20-00239103-v	wngre:synset-πολλαπλασιάζω-verb-1
ENG20-00239525-v	wngre:synset-αυξάνω-verb-0
ENG20-00239721-v	wngre:synset-ωριμάζω-verb-0
ENG20-00240336-v	wngre:synset-αναπτύσσομαι-verb-0
ENG20-00240990-v	wngre:synset-οπισθοδρομώ-verb-0
ENG20-00241500-v	wngre:synset-γίνομαι-verb-7
ENG20-00241829-v	wngre:synset-μεγαλώνω-verb-3
ENG20-00242454-n	wngre:synset-αποτρίχωση-noun-0
ENG20-00242626-n	wngre:synset-ξύρισμα-noun-1
ENG20-00242712-v	wngre:synset-γίνομαι-verb-0
ENG20-00242922-a	wngre:synset-άσπρος-adjective-1
ENG20-00243643-v	wngre:synset-εξελίσσομαι-verb-2
ENG20-00245331-v	wngre:synset-αναπτύσσω-verb-0
ENG20-00246695-n	wngre:synset-αποκατάσταση-noun-0
ENG20-00247448-n	wngre:synset-αποζημίωση-noun-3
ENG20-00248093-v	wngre:synset-πρήζομαι-verb-0
ENG20-00248409-n	wngre:synset-αναμόρφωση-noun-0
ENG20-00248837-v	wngre:synset-εξαπλώνομαι-verb-1
ENG20-00250018-n	wngre:synset-διακόσμηση-noun-1
ENG20-00250136-v	wngre:synset-αχρηστεύω-verb-0
ENG20-00250328-v	wngre:synset-βλάπτω-verb-0
ENG20-00250512-n	wngre:synset-διακόσμηση-noun-0
ENG20-00251625-v	wngre:synset-καταβάλλω-verb-0
ENG20-00251962-v	wngre:synset-επιδιορθώνω-verb-0
ENG20-00253943-v	wngre:synset-επισκευάζω-verb-0
ENG20-00254280-n	wngre:synset-επιδιόρθωση-noun-0
ENG20-00254996-n	wngre:synset-συντήρηση-noun-0
ENG20-00255208-v	wngre:synset-φουσκώνω-verb-0
ENG20-00255843-v	wngre:synset-ξεφουσκώνω-verb-0
ENG20-00256031-n	wngre:synset-ανάπλαση-noun-1
ENG20-00258736-n	wngre:synset-υποβάθμιση-noun-0
ENG20-00258758-b	wngre:synset-μεταξύ_άλλων-adverb-1
ENG20-00259497-a	wngre:synset-μπας-κλας-adjective-0
ENG20-00260186-n	wngre:synset-εξαχρείωση-noun-0
ENG20-00260341-a	wngre:synset-μικρομεσαίος-adjective-0
ENG20-00260973-v	wngre:synset-ακινητοποιώ-verb-0
ENG20-00261138-a	wngre:synset-πρωτοκλασάτος-adjective-0
ENG20-00261299-v	wngre:synset-συλλέγω-verb-1
ENG20-00261645-v	wngre:synset-γιατρεύομαι-verb-0
ENG20-00261783-v	wngre:synset-αυξομειώνομαι-verb-0
ENG20-00261930-v	wngre:synset-σταθεροποιώ-verb-0
ENG20-00262820-v	wngre:synset-αποσταθεροποιώ-verb-0
ENG20-00263055-v	wngre:synset-σταθεροποιούμαι-verb-0
ENG20-00263286-v	wngre:synset-αποσταθεροποιούμαι-verb-0
ENG20-00264092-n	wngre:synset-βρωμιά-noun-0
ENG20-00264459-n	wngre:synset-μόλυνση-noun-0
ENG20-00264554-v	wngre:synset-έχω-verb-5
ENG20-00264843-v	wngre:synset-εξοικειώνω-verb-0
ENG20-00266616-v	wngre:synset-κανονικοποιώ-verb-0
ENG20-00266852-v	wngre:synset-τακτοποιώ-verb-3
ENG20-00267077-v	wngre:synset-κάνω-verb-24
ENG20-00267223-v	wngre:synset-κάνω-verb-18
ENG20-00267271-n	wngre:synset-αλλαγή_θέσης-noun-1
ENG20-00267382-v	wngre:synset-ανακατεύω-verb-1
ENG20-00268004-n	wngre:synset-μετακίνηση-noun-0
ENG20-00268653-v	wngre:synset-διευθετώ-verb-0
ENG20-00269457-n	wngre:synset-προαγωγή-noun-0
ENG20-00269869-n	wngre:synset-σπρώξιμο-noun-0
ENG20-00269997-n	wngre:synset-καριέρα-noun-0
ENG20-00270493-n	wngre:synset-μετακίνηση-noun-1
ENG20-00270916-n	wngre:synset-περπάτημα-noun-0
ENG20-00271295-v	wngre:synset-ασπρίζω-verb-1
ENG20-00271431-n	wngre:synset-βόλτα-noun-0
ENG20-00271999-n	wngre:synset-περίπατος-noun-0
ENG20-00272032-v	wngre:synset-φωτίζομαι-verb-0
ENG20-00272185-v	wngre:synset-αλλάζω_χρώμα-verb-1
ENG20-00272621-a	wngre:synset-λευκός-adjective-1
ENG20-00272686-n	wngre:synset-βήμα-noun-1
ENG20-00273626-n	wngre:synset-βήμα-noun-3
ENG20-00275031-v	wngre:synset-χρωματίζω-verb-0
ENG20-00280933-n	wngre:synset-τρέξιμο-noun-1
ENG20-00281469-n	wngre:synset-σπριντ-noun-1
ENG20-00282678-v	wngre:synset-φωταγωγώ-verb-0
ENG20-00282711-n	wngre:synset-ταξίδι-noun-0
ENG20-00283452-n	wngre:synset-οδοιπορία-noun-0
ENG20-00283593-n	wngre:synset-πομπή-noun-0
ENG20-00284070-n	wngre:synset-περιπλάνηση-noun-0
ENG20-00284091-v	wngre:synset-ομορφαίνω-verb-1
ENG20-00284369-v	wngre:synset-ασχημαίνω-verb-0
ENG20-00285185-v	wngre:synset-ανθίζω-verb-1
ENG20-00285200-a	wngre:synset-φιλελεύθερος-adjective-1
ENG20-00285462-v	wngre:synset-ανθίζω-verb-2
ENG20-00287086-v	wngre:synset-ρυθμίζω-verb-0
ENG20-00287371-a	wngre:synset-σπασμένος-adjective-0
ENG20-00287371-n	wngre:synset-αεροπορικό_ταξίδι-noun-0
ENG20-00288122-n	wngre:synset-πτήση-noun-0
ENG20-00289324-n	wngre:synset-πτήση-noun-0
ENG20-00289596-a	wngre:synset-ολόκληρος-adjective-0
ENG20-00290397-v	wngre:synset-εξοικειώνομαι-verb-0
ENG20-00290929-n	wngre:synset-αλεξιπτωτισμός-noun-0
ENG20-00291120-n	wngre:synset-ελεύθερη_πτώση-noun-1
ENG20-00292345-v	wngre:synset-εξημερώνω-verb-0
ENG20-00292619-v	wngre:synset-δαμάζω-verb-0
ENG20-00293027-n	wngre:synset-απογείωση-noun-0
ENG20-00293351-n	wngre:synset-ταξίδι-noun-1
ENG20-00293789-n	wngre:synset-σκέλος-noun-0
ENG20-00294383-v	wngre:synset-ανοίγω-verb-6
ENG20-00294588-n	wngre:synset-ταξίδι-noun-0
ENG20-00295494-n	wngre:synset-αυτoκινητάδα-noun-0
ENG20-00296271-v	wngre:synset-εκρήγνυμαι-verb-0
ENG20-00296306-n	wngre:synset-αποστολή-noun-0
ENG20-00296442-v	wngre:synset-ανατινάζομαι-verb-0
ENG20-00296565-n	wngre:synset-σαφάρι-noun-1
ENG20-00297090-a	wngre:synset-καπιταλιστικός-adjective-1
ENG20-00297674-a	wngre:synset-σοσιαλιστικός-adjective-1
ENG20-00297847-v	wngre:synset-εκρήγνυμαι-verb-0
ENG20-00298020-n	wngre:synset-προσκύνημα-noun-0
ENG20-00298142-n	wngre:synset-εκδρομή-noun-0
ENG20-00298384-v	wngre:synset-ανοίγω-verb-10
ENG20-00299567-v	wngre:synset-σπάω-verb-0
ENG20-00300610-v	wngre:synset-ακμάζω-verb-0
ENG20-00300817-v	wngre:synset-εξαπλώνομαι-verb-0
ENG20-00301705-v	wngre:synset-σκουραίνω-verb-1
ENG20-00301980-n	wngre:synset-μεταβίβαση-noun-0
ENG20-00302508-v	wngre:synset-σκουραίνω-verb-0
ENG20-00302685-v	wngre:synset-φωτίζομαι-verb-0
ENG20-00302983-v	wngre:synset-φωτίζω-verb-0
ENG20-00303175-n	wngre:synset-διανομή-noun-0
ENG20-00305706-n	wngre:synset-καταδίωξη-noun-0
ENG20-00306243-n	wngre:synset-παρακολούθηση-noun-1
ENG20-00306550-v	wngre:synset-κονταίνω-verb-0
ENG20-00306609-n	wngre:synset-είσοδος-noun-0
ENG20-00306687-v	wngre:synset-μακραίνω-verb-0
ENG20-00306824-v	wngre:synset-κονταίνω-verb-0
