ID	wn20s:synsetId
DEF	wn20s:gloss
SENSE wn20s:sense
n	wn20s:NounSynset
v	wn20s:VerbSynset
b	wn20s:AdverbSynset
a	wn20s:AdjectiveSynset
category_domain	wn20s:classifiedByTopic
causes	wn20s:causes
derived	wn20s:derivationallyRelated
holo_member	wn20s:memberHolonymOf
holo_part	wn20s:partHolonymOf
hypernym	wn20s:hypernymOf
near_antonym	wn20s:antonymOf
antonym	wn20s:antonymOf
region_domain	wn20s:classifiedByRegion
similar_to	wn20s:similarTo
usage_domain	wn20s:classifiedByUsage
verb_group	wn20s:sameVerbGroupAs
holo_substance	wn20s:substanceHolonymOf
also_see	wn20s:seeAlso
